Unknown Nodes,Movement No.,VA1,VA2,VA3,VA4,VA5,VA6
1,1,3.62527617297285,7.76255343915085,6.194584607132097,9.819860780104946,9.245944355243868,1.4833909160930188
1,2,5.017704320811806,9.912168654202732,7.132971080647147,12.150675401458951,11.133418487401535,1.2212498331988038
1,3,5.894681195919222,11.565106058224478,8.24198889592898,14.1366700918482,12.920324790695993,1.3552187324715164
1,4,0.4763798837388302,6.683215950198994,12.528429351177031,12.0520494674382,14.191546062737398,7.508330112538405
1,5,9.744184091184776,17.978639534754983,11.651548942792557,21.395733033977333,19.07985714527356,1.101217610518584
1,6,10.721329748771987,19.41621245793597,12.187206970152921,22.908536718924907,20.262537066299192,0.8463246083632237
1,7,10.989733466559242,19.32440975587414,11.491392590335218,22.481126056894457,19.614042786027632,0.2896330301534948
1,8,12.656592341479097,21.494843705926694,11.916976716458944,24.573569057938037,21.06782642572446,0.4270172802022346
1,9,6.9094632059798196,15.286048043079338,12.657285445592585,19.566748651572404,18.604554760373887,3.31850671729455
1,10,6.039907507831481,15.44608633987376,14.673591303093994,20.713498810925472,20.430746003166682,4.984659663292923
2,1,2.797450656851673,2.8457409621746845,10.523869245369843,7.726418588518169,10.536808593683396,7.691067631508713
2,2,1.5087969957499185,4.5104474641269485,10.829918164237915,9.321121168487997,11.634207983200042,7.123760519073094
2,3,1.8878997484945326,4.493953932722814,11.559556035338948,9.671656286844414,12.257846149434664,7.763892216711851
2,4,7.806755772824935,3.9596127205521623,22.47176195594224,14.665006183117306,21.44092308191875,17.48131036136659
2,5,2.1855787700148364,12.019206417175951,16.446718641176968,18.632297411191804,20.252879360742313,8.233672943566363
2,6,1.8225714648793798,13.477367708686947,19.69834269397518,21.52091415885456,23.797949039777578,10.320581331090631
2,7,7.080574875997024,15.883627357429663,13.350099839565113,20.430674715562137,19.50333928283678,3.619711925407116
2,8,7.831293119783647,17.350140016708206,14.388737787805251,22.220030907588896,21.136082460986554,3.785942444278352
2,9,2.4998508618246738,13.271779451632439,17.987694593426653,20.48754545525133,22.213690199239704,8.941910747607265
2,10,2.9344621782184035,15.397167857170995,20.79975266484978,23.73421484306818,25.711698128778483,10.31453027160749
3,1,10.676864040410072,4.6449346526701,13.308465264558237,2.631601224148162,9.203001678155173,13.847936330825274
3,2,10.994041866886645,5.390000519308913,12.652328981507617,1.6582871146209714,8.262238055369235,13.652238574678147
3,3,10.55505522008465,5.678307695913738,11.274993009837338,0.7199377897526871,6.925276526054237,12.603584221967974
3,4,15.586882019921742,5.523941319440677,21.606017016543166,6.019134996621426,15.949388951204911,21.473330270645587
